Landing Page,Page Title,Views,Users,Entrances,Engaged Sessions,Avg Engagement Time Sec,Form Submits,Phone Clicks,WhatsApp Clicks,CRM Leads,Landing Lead Rate,MQLs,SQLs,Customers,Estimated Revenue,Recommendation
/services/business-website,Business Website Development,19162,12644,7571,4683,90.5,72,17,89,556,0.0734,248,81,8,4660.31,"Improve service copy, FAQs, and CTA placement."
/services/ecommerce-store,Ecommerce Store Development,15726,10339,6321,4076,90.9,71,29,105,521,0.0824,261,78,10,7416.08,Scale high-intent paid search and add clearer package/pricing CTA.
/,Home,28967,19108,11389,6544,78.4,48,8,75,459,0.0403,216,66,11,7743.83,Move users from homepage into service-specific landing pages faster.
/services/seo-digital-marketing,SEO & Digital Marketing,13736,9087,5430,3234,84.9,20,1,30,347,0.0639,167,43,7,4838.39,"Improve service copy, FAQs, and CTA placement."
/services/school-management-system,School Management System,7812,5105,3043,1917,91.1,1,0,2,252,0.0828,122,44,6,5095.48,"Improve service copy, FAQs, and CTA placement."
/contact,Contact,4421,2859,1637,787,74.8,0,0,0,246,0.1503,109,37,6,4012.91,Reduce form friction and keep WhatsApp/phone CTA visible above fold.
/portfolio,Portfolio,9086,5928,3602,2430,101.9,1,0,0,209,0.058,101,25,4,2890.22,Add proof-based CTA under each case study to capture high-intent visitors.
/blog/website-cost-nepal,Website Cost in Nepal Guide,10197,6527,3956,2725,97.3,0,0,4,137,0.0346,60,15,3,2096.18,Add stronger internal links to service pages and downloadable lead magnet.
/services/law-firm-management-system,Law Firm Management System,5572,3631,2124,1348,99.4,0,0,0,128,0.0603,59,23,4,2589.45,"Improve service copy, FAQs, and CTA placement."
/about,About Digi Agent,2187,1336,795,326,73.9,0,0,0,26,0.0327,13,5,0,0.0,"Improve service copy, FAQs, and CTA placement."
