Query,Page,Clicks,Impressions,CTR,Avg Position,Opportunity
website cost in nepal,/blog/website-cost-nepal,2008,58486,0.0343,4.9,Monitor performance and test content updates.
ecommerce website development nepal,/services/ecommerce-store,1071,39977,0.0268,6.3,Monitor performance and test content updates.
website design company in nepal,/services/business-website,874,45262,0.0193,7.4,Ranking is visible but CTR is low. Improve title tag and meta description.
digital marketing company in nepal,/services/seo-digital-marketing,652,37990,0.0172,8.2,Ranking is visible but CTR is low. Improve title tag and meta description.
school management software nepal,/services/school-management-system,525,35118,0.0149,9.2,Ranking is visible but CTR is low. Improve title tag and meta description.
business website package nepal,/services/business-website,385,24604,0.0156,8.0,Ranking is visible but CTR is low. Improve title tag and meta description.
online store development nepal,/services/ecommerce-store,262,21567,0.0121,10.3,"High impression query outside top 10. Strengthen content depth, internal links, and FAQ section."
law firm management system nepal,/services/law-firm-management-system,221,21314,0.0104,11.3,"High impression query outside top 10. Strengthen content depth, internal links, and FAQ section."
best IT company in kathmandu,/,128,15405,0.0083,12.0,"High impression query outside top 10. Strengthen content depth, internal links, and FAQ section."
portfolio website design nepal,/portfolio,41,12215,0.0034,13.5,Monitor performance and test content updates.
crm software nepal,/services/business-website,0,3047,0.0,17.3,Monitor performance and test content updates.
wordpress website design nepal,/services/business-website,0,3005,0.0,15.9,Monitor performance and test content updates.
